"election_month","election_type","office_key","gid","gid_level","glabel","candidate","candidate_major","candidate_party","candidate_party_major","metric_desc","metric"
201611,"general","pr","29045","county","Clark","trump","trump","republican","republican","votes",2458
201611,"general","pr","29047","county","Clay","trump","trump","republican","republican","votes",57476
201611,"general","pr","29049","county","Clinton","trump","trump","republican","republican","votes",7067
201611,"general","pr","29051","county","Cole","trump","trump","republican","republican","votes",24616
201611,"general","pr","29053","county","Cooper","trump","trump","republican","republican","votes",5624
201611,"general","pr","29055","county","Crawford","trump","trump","republican","republican","votes",7724
201611,"general","pr","29057","county","Dade","trump","trump","republican","republican","votes",3184
201611,"general","pr","29059","county","Dallas","trump","trump","republican","republican","votes",5895
201611,"general","pr","29061","county","Daviess","trump","trump","republican","republican","votes",2767
201611,"general","pr","29063","county","De Kalb","trump","trump","republican","republican","votes",3540
201611,"general","pr","29065","county","Dent","trump","trump","republican","republican","votes",5600
201611,"general","pr","29067","county","Douglas","trump","trump","republican","republican","votes",5486
201611,"general","pr","29069","county","Dunklin","trump","trump","republican","republican","votes",8026
201611,"general","pr","29071","county","Franklin","trump","trump","republican","republican","votes",35430
201611,"general","pr","29073","county","Gasconade","trump","trump","republican","republican","votes",5670
201611,"general","pr","29075","county","Gentry","trump","trump","republican","republican","votes",2304
201611,"general","pr","29077","county","Greene","trump","trump","republican","republican","votes",78035
201611,"general","pr","29079","county","Grundy","trump","trump","republican","republican","votes",3462
201611,"general","pr","29081","county","Harrison","trump","trump","republican","republican","votes",2965
201611,"general","pr","29083","county","Henry","trump","trump","republican","republican","votes",7075
201611,"general","pr","29085","county","Hickory","trump","trump","republican","republican","votes",3542
201611,"general","pr","29087","county","Holt","trump","trump","republican","republican","votes",1926
201611,"general","pr","29089","county","Howard","trump","trump","republican","republican","votes",3277
201611,"general","pr","29091","county","Howell","trump","trump","republican","republican","votes",13893
201611,"general","pr","29093","county","Iron","trump","trump","republican","republican","votes",3173
201611,"general","pr","29095","county","Jackson","trump","trump","republican","republican","votes",91557
201611,"general","pr","29097","county","Jasper","trump","trump","republican","republican","votes",35070
201611,"general","pr","29099","county","Jefferson","trump","trump","republican","republican","votes",69036
201611,"general","pr","29101","county","Johnson","trump","trump","republican","republican","votes",13719
201611,"general","pr",NA,"county","Kansas City","trump","trump","republican","republican","votes",24654
201611,"general","pr","29103","county","Knox","trump","trump","republican","republican","votes",1416
201611,"general","pr","29105","county","Laclede","trump","trump","republican","republican","votes",12881
201611,"general","pr","29107","county","Lafayette","trump","trump","republican","republican","votes",10988
201611,"general","pr","29109","county","Lawrence","trump","trump","republican","republican","votes",13089
201611,"general","pr","29111","county","Lewis","trump","trump","republican","republican","votes",3344
201611,"general","pr","29113","county","Lincoln","trump","trump","republican","republican","votes",18159
201611,"general","pr","29115","county","Linn","trump","trump","republican","republican","votes",4088
